,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
220,Great Pyrenees/Rottweiler,2.0,3.0,2.0,2.5,1.5,2.5,1.5,4.5,2.0,2.0,4.5,5.0
221,Border Collie/Pit Bull,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
222,Chihuahua Longhair/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
224,Pit Bull/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
225,Rat Terrier/Beagle,3.5,3.0,4.5,4.5,4.0,4.0,3.5,1.5,2.5,1.0,2.5,4.5
227,Dachshund/Pembroke Welsh Corgi,3.5,2.5,3.0,3.5,3.0,3.0,2.5,3.0,3.0,1.5,3.0,5.0
228,Black Mouth Cur/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
229,Chinese Sharpei/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
230,Border Collie/Great Pyrenees,3.0,4.0,3.0,3.0,2.5,2.0,2.0,3.5,3.0,3.0,4.0,4.5
231,Flat Coat Retriever/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
232,Newfoundland/Great Pyrenees,1.5,2.5,2.5,4.0,3.0,4.0,3.5,4.0,2.0,3.0,5.0,4.0
233,Golden Retriever/Standard Poodle,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0
234,Border Terrier/Miniature Schnauzer,3.0,3.0,3.5,3.5,3.0,2.5,3.0,1.0,3.5,3.0,3.0,4.5
235,Labrador Retriever/English Springer Spaniel,3.5,3.5,4.5,5.0,3.5,5.0,4.5,2.0,5.0,3.0,3.0,4.0
237,Irish Terrier/Irish Wolfhound,2.0,3.0,3.0,2.5,2.0,2.0,2.5,3.0,1.5,3.5,4.0,4.0
238,Labrador Retriever/Dalmatian,4.0,3.0,4.0,5.0,3.5,4.0,4.0,2.5,4.0,2.0,3.0,4.0
239,Border Collie/Great Dane,3.5,3.5,3.0,3.5,2.5,1.5,3.0,3.0,4.0,2.0,3.5,4.0
240,Doberman Pinsch/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
241,Dachshund Wirehair/Border Terrier,3.5,2.5,3.0,3.0,3.0,2.0,2.0,1.5,3.0,2.5,3.0,4.5
242,Labrador Retriever/Black/Tan Hound,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
243,Alaskan Malamute/Border Collie,4.0,4.5,3.5,4.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,3.5
244,German Shepherd/Australian Kelpie,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
245,Labrador Retriever/Doberman Pinsch,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
246,Chihuahua Shorthair/Dachshund Wirehair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
247,Alaskan Malamute/Labrador Retriever,3.5,3.5,4.0,5.0,2.5,3.0,4.5,2.5,3.0,2.5,4.0,3.5
248,Miniature Poodle/Golden Retriever,3.5,3.0,5.0,4.5,4.5,4.0,4.5,1.5,5.0,4.0,3.0,4.0
249,Queensland Heeler/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
250,Great Dane/Labrador Retriever,3.0,2.5,3.5,4.5,3.0,3.5,4.5,2.5,4.0,1.5,3.5,4.0
251,Pekingese/Pug,2.0,1.5,2.5,3.0,3.0,3.5,2.0,1.0,2.0,3.5,5.0,5.0
252,American Bulldog/Chinese Sharpei,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
254,Chihuahua Shorthair/Boston Terrier,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0
255,Pug/Labrador Retriever,3.5,2.5,4.5,4.5,3.5,4.0,3.5,1.5,4.0,2.0,4.0,4.5
256,Australian Cattle Dog/Akita,4.0,4.0,3.5,3.5,2.0,2.0,1.5,4.0,4.0,2.0,4.0,5.0
257,Dalmatian/Pointer,4.0,3.5,3.5,4.5,3.5,3.5,3.0,3.0,3.0,1.5,3.0,4.0
258,Boston Terrier/Rat Terrier,3.5,2.0,4.0,3.5,3.0,3.5,2.5,1.5,3.5,1.0,3.5,5.0
259,Maltese/Miniature Poodle,4.0,2.0,4.5,3.5,3.5,3.0,2.5,1.0,4.0,4.0,3.5,5.0
260,Chihuahua Longhair/Pug,3.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,5.0
261,Boston Terrier/Chihuahua Shorthair,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0
262,Cocker Spaniel/Miniature Poodle,4.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0
263,Labrador Retriever/Chow Chow,2.5,2.5,3.0,3.5,2.5,4.0,3.0,3.0,3.0,2.5,4.0,4.5
264,Boston Terrier/Australian Kelpie,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0
265,Basset Hound/Beauceron,3.0,3.5,3.0,4.0,3.0,3.0,2.0,3.0,3.5,2.5,3.0,4.0
266,Dachshund Longhair/Cardigan Welsh Corgi,3.5,2.5,3.0,3.0,2.5,3.0,2.0,3.0,3.0,1.5,3.0,5.0
267,Skye Terrier/Miniature Poodle,3.0,2.5,4.0,4.0,2.5,2.0,2.5,1.0,4.0,4.0,3.5,5.0
268,Australian Cattle Dog/Australian Shepherd,4.5,5.0,4.5,4.0,3.0,2.5,2.0,4.0,5.0,2.5,3.0,5.0
269,Golden Retriever/Chow Chow,2.0,2.5,3.0,3.5,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
270,Dachshund Longhair/Chihuahua Shorthair,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
271,Cardigan Welsh Corgi/Chihuahua Shorthair,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
273,Border Terrier/Labrador Retriever,3.5,3.0,4.0,4.0,3.5,3.5,4.0,1.5,4.5,2.5,3.0,4.0
274,Catahoula/Great Dane,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
275,Cairn Terrier/Chihuahua Shorthair,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
276,Pointer/Pit Bull,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
277,Chihuahua Longhair/Pekingese,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0
278,Cairn Terrier/Scottish Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
279,Catahoula/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
280,German Shepherd/Pit Bull,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
281,Australian Cattle Dog/Chinese Sharpei,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
282,Chesa Bay Retr/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
283,Great Pyrenees/Pit Bull,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
284,Miniature Schnauzer/Labrador Retriever,3.5,3.0,4.5,4.5,3.5,4.0,4.0,1.5,4.0,2.5,3.0,4.5
285,Whippet/Dachshund,3.5,2.5,3.0,3.5,4.0,3.0,2.0,1.5,2.5,1.5,3.0,4.5
286,Yorkshire Terrier/Chihuahua Shorthair,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
287,Chihuahua Shorthair/Border Terrier,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0
288,Golden Retriever/Border Collie,4.0,4.0,4.5,4.0,4.0,3.0,3.5,2.5,5.0,3.0,3.0,3.5
290,Pit Bull/American Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
291,Saluki/Doberman Pinsch,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0
292,Labrador Retriever/Weimaraner,4.5,3.5,4.5,4.0,3.0,3.5,3.5,3.0,4.5,1.5,3.0,4.5
293,Chihuahua Longhair/Papillon,4.0,1.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0
294,Chihuahua Shorthair/Finnish Spitz,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0
295,Basset Hound/Australian Shepherd,3.0,3.5,3.5,4.0,3.0,3.0,2.5,2.5,3.5,2.5,3.0,4.0
297,Alaskan Malamute/Akita,3.0,3.5,3.0,4.0,1.0,1.5,2.5,3.5,2.0,2.5,5.0,4.0
298,German Shepherd/Golden Retriever,3.0,3.5,3.5,4.0,3.0,4.0,3.5,3.5,5.0,2.5,3.0,4.0
299,Shih Tzu/Affenpinscher,3.5,2.0,4.0,4.0,3.5,3.5,3.5,1.0,2.5,4.0,4.5,4.0
300,Treeing Walker Coonhound/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
301,Shih Tzu/Norfolk Terrier,3.5,2.0,3.5,2.5,3.5,3.5,3.5,1.0,2.0,3.5,4.0,4.0
302,Australian Cattle Dog/German Shorthair Pointer,4.5,4.5,4.0,4.0,3.5,3.0,2.5,3.5,4.0,1.5,3.0,4.5
303,Kuvasz/Labrador Retriever,3.5,3.5,4.0,3.0,2.5,4.5,3.0,3.5,3.0,2.5,3.5,4.5
304,Australian Cattle Dog/Plott Hound,4.0,4.0,3.5,3.5,2.5,2.0,2.0,4.0,3.5,1.5,3.0,4.5
305,Labrador Retriever/Anatol Shepherd,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
306,Siberian Husky/Labrador Retriever,3.5,3.5,4.5,4.5,3.5,4.0,5.0,1.5,3.0,2.5,4.0,3.5
307,Soft Coated Wheaten Terrier/Yorkshire Terrier,3.5,2.0,4.0,4.0,2.5,2.5,3.5,1.5,2.5,4.0,4.5,4.5
308,Border Collie/Parson Russell Terrier,5.0,4.5,4.5,3.0,2.5,1.0,2.5,2.5,4.0,3.0,3.0,4.5
309,Beagle/Boxer,4.0,3.0,4.5,5.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,3.5
311,Catahoula/Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
312,Labrador Retriever/Black Mouth Cur,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
313,Australian Shepherd/Anatol Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
315,Chow Chow/Australian Cattle Dog,3.0,3.5,2.5,3.0,2.0,2.5,1.5,4.0,3.0,2.5,4.0,5.0
316,Dalmatian/Basset Hound,3.0,2.5,2.5,4.5,3.0,3.0,3.0,2.0,2.5,2.0,3.0,3.5
317,Mastiff/Labrador Retriever,2.5,2.5,3.0,4.5,3.5,4.5,3.5,3.0,4.0,1.5,3.5,4.5
318,Catahoula/Mastiff,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
319,Boxer/Great Dane,3.5,2.5,3.5,4.5,2.5,2.5,3.5,4.0,3.0,1.0,4.5,3.5
320,Pit Bull/Plott Hound,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
321,Boxer/American Bulldog,3.0,2.0,4.5,5.0,2.0,3.5,3.5,3.5,2.5,1.5,5.0,2.0
322,Catahoula/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
323,Rottweiler/Boxer,4.0,3.0,3.5,3.5,2.0,2.5,2.0,5.0,3.0,1.0,4.5,4.0
324,Queensland Heeler/Basset Hound,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
325,Great Dane/Pit Bull,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
326,Jack Russell Terrier/Labrador Retriever,4.5,3.5,5.0,4.0,3.0,3.0,4.0,2.0,4.0,2.5,3.0,4.5
327,Miniature Pinscher/Maltese,4.5,1.5,4.5,3.0,2.5,2.0,1.0,1.0,2.0,2.0,3.5,5.0
328,Australian Cattle Dog/Chow Chow,3.0,3.5,2.5,3.0,2.0,2.5,1.5,4.0,3.0,2.5,4.0,5.0
329,Dachshund Wirehair/Miniature Schnauzer,3.5,2.5,3.5,3.5,3.0,2.5,2.0,1.5,2.5,2.5,3.0,5.0
331,Labrador Retriever/Staffordshire,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
332,Doberman Pinsch/German Shepherd,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
334,Pit Bull/Basset Hound,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
335,Jack Russell Terrier/Pit Bull,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
336,Chihuahua Longhair/Pomeranian,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0
337,Chinese Sharpei/Great Dane,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0
338,Cardigan Welsh Corgi/Jack Russell Terrier,4.0,3.5,4.0,3.0,2.0,2.5,3.0,3.0,3.5,2.0,3.0,5.0
339,Mastiff/Rottweiler,2.0,2.5,1.5,3.0,2.0,3.0,1.5,4.5,3.0,1.0,4.0,5.0
340,Yorkshire Terrier/Chihuahua Longhair,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
342,Dachshund Wirehair/Pbgv,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
343,Great Pyrenees/Queensland Heeler,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0
344,Collie Rough/Australian Shepherd,4.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0
345,Yorkshire Terrier/Miniature Schnauzer,3.5,2.0,4.0,3.5,2.5,2.5,3.0,1.0,2.5,3.5,3.5,5.0
346,Labrador Retriever/Border Terrier,3.5,3.0,4.0,4.0,3.5,3.5,4.0,1.5,4.5,2.5,3.0,4.0
347,American Staffordshire Terrier/American Bulldog,2.0,2.0,3.5,4.0,1.0,2.5,3.5,3.5,3.0,1.5,4.0,3.0
348,Chihuahua Shorthair/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
350,Rhod Ridgeback/Bullmastiff,1.0,2.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,1.0,5.0,5.0
351,Australian Kelpie/Shiba Inu,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0
352,Bruss Griffon/Maltese,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0
353,Labrador Retriever/Plott Hound,3.5,3.0,4.0,4.0,3.0,3.5,3.5,3.0,3.5,1.5,3.0,4.0
354,Boston Terrier/Miniature Schnauzer,3.0,2.0,3.5,3.5,3.0,3.5,3.0,1.0,3.0,2.0,4.0,5.0
355,Labrador Retriever/Siberian Husky,3.5,3.5,4.5,4.5,3.5,4.0,5.0,1.5,3.0,2.5,4.0,3.5
356,Pit Bull/Boston Terrier,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0
357,Beagle/Rat Terrier,3.5,3.0,4.5,4.5,4.0,4.0,3.5,1.5,2.5,1.0,2.5,4.5
358,Dachshund/Bloodhound,3.5,2.5,2.0,4.0,3.0,3.5,2.0,1.5,1.5,1.5,3.5,4.5
359,Cavalier Span/Jack Russell Terrier,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
360,Boxer/Cardigan Welsh Corgi,4.0,3.0,4.0,4.0,2.5,3.5,3.0,4.5,3.5,1.0,4.0,4.0
361,Pointer/Chinese Sharpei,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0
362,Bruss Griffon/Yorkshire Terrier,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
363,Yorkshire Terrier/Border Terrier,3.5,2.0,3.5,3.0,2.5,2.0,3.0,1.0,3.0,3.5,3.5,4.5
364,Dachshund Wirehair/Yorkshire Terrier,4.0,1.5,3.5,3.0,2.5,2.0,2.0,1.5,2.0,3.0,3.5,5.0
365,Ibizan Hound/Pit Bull,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0
366,Pit Bull/Pharaoh Hound,3.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0
367,German Shepherd/Great Dane,2.5,3.0,2.0,3.5,1.5,2.5,3.0,4.0,4.0,1.5,3.5,4.5
368,Chihuahua Shorthair/French Bulldog,2.0,1.0,3.5,4.0,2.0,4.0,2.5,1.5,2.0,1.5,5.0,2.0
370,Miniature Schnauzer/Shih Tzu,3.0,2.0,4.0,4.0,3.5,3.5,3.5,1.0,2.5,3.5,4.0,4.0
372,Border Collie/Basenji,4.5,4.0,3.5,3.0,2.5,1.0,2.5,2.0,3.5,2.0,3.0,4.5
373,Greyhound/Airedale Terrier,3.0,3.0,3.5,3.0,2.0,2.0,3.0,3.0,3.0,2.5,3.5,3.0
374,Border Terrier/Soft Coated Wheaten Terrier,3.0,3.0,3.5,4.0,3.0,2.5,3.5,1.5,3.5,3.5,4.0,4.0
375,Cairn Terrier/Dachshund,4.0,2.5,3.0,3.0,3.0,1.5,1.0,1.5,1.5,2.5,3.0,5.0
376,Border Collie/Akita,4.0,4.0,3.5,3.0,2.0,1.5,1.5,3.5,4.0,2.5,4.0,4.5
377,Rat Terrier/Queensland Heeler,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,5.0
378,Basset Hound/Pit Bull,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0
379,Dachshund/Shih Tzu,3.5,1.5,3.5,3.5,3.5,3.0,2.5,1.5,2.0,3.0,4.0,4.0
380,Australian Cattle Dog/Rat Terrier,4.5,4.0,4.5,4.0,3.0,2.5,2.0,3.0,4.5,1.5,2.5,5.0
381,Alaskan Malamute/German Shepherd,3.0,4.0,2.5,4.0,1.0,2.0,3.0,4.0,3.0,2.5,4.0,4.0
382,Mastiff/Boxer,3.0,2.5,3.0,4.5,3.0,3.5,2.5,4.5,3.0,1.0,4.5,4.0
383,Plott Hound/Blue Lacy,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0
384,Jack Russell Terrier/Cairn Terrier,4.5,3.5,4.0,3.0,2.5,1.0,2.0,1.5,2.0,3.0,3.0,5.0
385,Collie Smooth/Siberian Husky,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,5.0,3.0
386,Basset Hound/English Pointer,3.333333333,3.333333333,3.333333333,4.0,3.666666667,3.666666667,3.0,2.333333333,2.666666667,1.333333333,3.0,3.666666667
388,German Shepherd/Alaskan Malamute,3.0,4.0,2.5,4.0,1.0,2.0,3.0,4.0,3.0,2.5,4.0,4.0
390,Rottweiler/Doberman Pinsch,3.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,5.0
391,Mastiff/Pit Bull,1.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0
392,Swedish Vallhund/Miniature Poodle,4.0,3.5,4.5,4.5,3.5,3.0,3.5,1.5,4.5,3.5,3.0,5.0
393,Yorkshire Terrier/Cairn Terrier,4.0,2.0,3.5,3.0,2.5,1.5,2.0,1.0,1.5,3.5,3.5,5.0
394,American Pit Bull Terrier/American Pit Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
395,Shih Tzu/Maltese,3.5,1.0,4.0,3.5,3.5,3.5,2.5,1.0,2.5,3.5,4.5,4.0
396,Australian Shepherd/Chow Chow,2.5,3.5,3.0,3.0,2.0,3.0,1.5,4.0,3.0,3.0,4.0,5.0
397,Chihuahua Shorthair/Yorkshire Terrier,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,4.0,5.0
398,Beagle/Labrador Retriever,3.5,3.0,4.5,5.0,4.5,5.0,5.0,1.5,3.0,1.5,3.0,4.0
400,Chihuahua Longhair/Cairn Terrier,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
401,English Bulldog/Cairn Terrier,2.5,2.0,3.5,4.0,2.0,2.5,2.5,1.5,1.5,2.5,4.0,3.0
402,Jack Russell Terrier/Welsh Terrier,4.0,3.5,4.0,3.0,2.5,1.0,2.0,1.5,2.0,3.5,3.0,5.0
403,Border Terrier/Dachshund,3.5,2.5,3.0,3.0,3.0,2.0,2.0,1.5,3.0,2.5,3.0,4.5
404,Miniature Poodle/Maltese,4.0,2.0,4.5,3.5,3.5,3.0,2.5,1.0,4.0,4.0,3.5,5.0
405,Staffordshire/English Bulldog,1.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0
406,German Shepherd/Chinese Sharpei,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
407,Doberman Pinsch/Border Collie,5.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0
408,Jack Russell Terrier/Australian Cattle Dog,5.0,4.5,4.5,3.5,2.5,1.5,2.5,3.0,4.0,2.5,3.0,5.0
409,Australian Cattle Dog/Treeing Walker Coonhound,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
410,Boxer/Rhod Ridgeback,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
411,Australian Cattle Dog/Border Collie,5.0,5.0,4.0,3.5,3.0,1.5,2.0,3.5,5.0,2.5,3.0,4.5
412,Australian Shepherd/English Setter,4.0,4.5,4.0,4.0,3.0,3.5,3.5,3.0,4.0,3.0,3.0,4.5
413,German Shepherd/Nova Scotia Duck Tolling Retriever,4.0,4.5,3.5,4.0,3.0,4.0,2.5,3.5,4.5,2.0,3.0,3.5
414,English Bulldog/American Staffordshire Terrier,2.0,2.0,3.5,4.0,1.0,2.5,3.5,3.5,3.0,1.5,4.0,3.0
415,Great Pyrenees/Labrador Retriever,2.5,3.0,3.5,4.0,3.0,4.0,3.5,3.0,3.0,2.5,4.0,4.5
416,Labrador Retriever/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
418,Anatol Shepherd/Australian Cattle Dog,5.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,5.0
419,Manchester Terrier/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
420,Chihuahua Longhair/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
421,Pointer/Border Collie,4.5,4.5,4.0,3.5,3.5,2.5,2.5,3.0,4.0,2.0,3.0,4.0
422,Collie Smooth/Chow Chow,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,5.0,5.0
423,Dachshund/Catahoula,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
424,Standard Schnauzer/Standard Poodle,4.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,5.0
425,Rottweiler/Chow Chow,2.0,2.5,1.5,2.0,1.0,2.5,1.0,4.5,2.0,2.0,4.5,5.0
426,Chow Chow/Cardigan Welsh Corgi,2.0,2.5,2.0,2.5,1.5,3.5,2.0,4.0,2.5,2.0,4.0,5.0
427,Chow Chow/Basset Hound,1.5,2.0,1.5,3.0,2.0,3.0,2.0,2.5,1.5,2.5,4.0,4.0
428,Jack Russell Terrier/Brittany,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
430,Brittany/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
432,Australian Cattle Dog/English Coonhound,4.0,4.0,3.5,3.5,3.5,2.5,2.5,3.0,3.0,1.5,3.0,4.0
433,English Pointer/Labrador Retriever,4.0,3.666666667,4.333333333,4.333333333,4.0,4.333333333,3.666666667,2.666666667,3.666666667,1.333333333,3.0,4.0
434,Labrador Retriever/Beauceron,4.0,4.0,4.5,4.5,3.5,4.0,3.0,3.5,5.0,2.5,3.0,4.5
435,Dachshund/Miniature Poodle,4.0,2.5,4.0,3.5,3.5,2.5,2.5,1.5,3.5,3.5,3.0,5.0
436,Jack Russell Terrier/American Staffordshire Terrier,4.0,3.5,4.0,3.0,1.5,1.0,3.0,3.5,3.5,2.0,3.0,5.0
437,Cairn Terrier/West Highland,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0
438,Yorkshire Terrier/Maltese,4.0,1.0,4.0,3.0,2.5,2.5,2.0,1.0,2.5,3.5,4.0,5.0
439,German Shepherd/Border Collie,4.0,4.5,3.0,3.0,2.0,2.0,2.0,4.0,5.0,2.5,3.0,4.5
440,Siberian Husky/Great Pyrenees,2.0,3.5,3.0,3.5,2.5,3.0,3.5,2.5,1.0,3.0,5.0,4.0
442,Catahoula/American Pit Bull Terrier,4.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,5.0
443,Labrador Retriever/Shiba Inu,3.5,3.0,4.0,4.0,3.0,3.5,4.0,2.5,3.5,2.5,3.5,4.5
444,Vizsla/Beagle,3.0,3.0,4.0,5.0,4.0,4.5,5.0,1.0,2.0,1.0,3.0,4.0
445,Greyhound/Labrador Retriever,3.0,3.0,4.0,4.0,3.5,3.5,4.0,2.0,4.0,1.5,3.5,3.0
446,Dachshund/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
447,German Shepherd/Catahoula,3.0,4.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.0,3.0,5.0
448,Boxer/Pointer,4.5,3.5,4.5,4.5,3.5,3.5,3.0,4.0,3.0,1.0,4.0,3.5
